,Year,State.Code,State.Name,Academic Subjects.Arts/Music.Average GPA,Academic Subjects.Arts/Music.Average Years,Academic Subjects.English.Average GPA,Academic Subjects.English.Average Years,Academic Subjects.Foreign Languages.Average GPA,Academic Subjects.Foreign Languages.Average Years,Academic Subjects.Mathematics.Average GPA,Academic Subjects.Mathematics.Average Years,Academic Subjects.Natural Sciences.Average GPA,Academic Subjects.Natural Sciences.Average Years,Academic Subjects.Social Sciences/History.Average GPA,Academic Subjects.Social Sciences/History.Average Years,Family Income.Between 20-40k.Test-takers,Family Income.Between 40-60k.Test-takers,Family Income.Between 60-80k.Test-takers,Family Income.Between 80-100k.Test-takers,Family Income.Less than 20k.Test-takers,Family Income.More than 100k.Test-takers,GPA.A minus.Test-takers,GPA.A plus.Test-takers,GPA.A.Test-takers,GPA.B.Test-takers,GPA.C.Test-takers,GPA.D or lower.Test-takers,GPA.No response.Test-takers,Gender.Female.Test-takers,Gender.Male.Test-takers,Total_Overall_Score,AmericanIndianAlaskanNative,Asian,Hispanic,Black,White,HawaiianNativePacificIslander,TwoOrMoreRaces,FreeReducedLunchProp,StudentTeacherRatio
0,2015,AL,Alabama,3.94,2.3,3.67,4.0,3.64,2.5,3.47,4.1,3.61,3.8,3.68,3.9,0.08159781495390918,0.08262205530897918,0.09320587231136906,0.09900990099009901,0.06691703653123933,0.30180949129395696,0.1891430522362581,0.18299761010583818,0.3096620006828269,0.26425401160805734,0.031410037555479685,0.0,0.022533287811539775,0.5722089450324342,0.4277910549675657,1088,0.008835334878574715,0.014022930951400272,0.06823290610370346,0.33218382449934447,0.5563192027200555,0.000901839483340198,0.019503961363581297,0.5116543845436554,19.488216027589043
1,2015,AK,Alaska,3.83,2.0,3.49,3.9,3.47,2.2,3.14,3.7,3.37,3.4,3.52,3.6,0.05633061331929455,0.07817846801789945,0.09923664122137404,0.0916030534351145,0.04764411687286128,0.2763885232956041,0.1816267438799684,0.07317715188207423,0.21374045801526717,0.35983153461437223,0.08923400894972361,0.0031587259805211897,0.07923137667807317,0.569097130823901,0.430902869176099,1014,0.23058342202797466,0.05937634457302022,0.06657759460132702,0.03163568015580063,0.48145715860111565,0.027114140567796673,0.10325565947296513,0.430825009336751,17.032533286705373
2,2015,AZ,Arizona,3.87,2.3,3.52,3.9,3.51,2.5,3.29,4.0,3.42,3.4,3.54,3.3,0.1126015316778835,0.10652123462520306,0.1011371547922952,0.08674866558366211,0.06855418890693897,0.24186586214899047,0.2043629612439081,0.0793223485727547,0.2376421443490369,0.3646321652355535,0.0636342538872128,0.0007426317010907403,0.04966349501044326,0.5576235785565097,0.4423764214434904,1052,0.04506562660943817,0.0280183669424001,0.44920895972252267,0.05277825800068971,0.39496800810274335,0.0032648118094407096,0.026695968812765262,0.5882500399032106,24.65258887426683
3,2015,AR,Arkansas,3.94,2.5,3.73,4.0,3.74,2.6,3.64,4.2,3.68,3.8,3.71,3.8,0.09942004971002485,0.09859154929577464,0.11267605633802817,0.10107705053852527,0.04473902236951118,0.2883181441590721,0.2112676056338028,0.19635459817729908,0.35542667771333886,0.19552609776304888,0.020712510356255178,0.0,0.020712510356255178,0.5666942833471417,0.43330571665285833,1141,0.006360082254354523,0.015520226280753944,0.12319255809416986,0.20768614924451165,0.6182894020303495,0.0068355644420602605,0.0221160176538002,0.6523330563169801,13.745218044864982
4,2015,CA,California,3.79,1.9,3.42,3.9,3.42,2.8,3.1,3.8,3.29,3.3,3.42,3.3,0.13142043361084316,0.09253041775510965,0.07068428046846861,0.059047082834822996,0.11364379659950405,0.19096016195203538,0.1898920733752013,0.04304645357333587,0.17659064470323282,0.43341626889336915,0.08720653438375843,0.0012212640704110484,0.06862676100069136,0.5515021548066056,0.4484978451933944,1003,0.005563663146481503,0.11376615252496473,0.54002901338233,0.057805951141747615,0.24086808864559495,0.004891397920294211,0.03707573323858699,0.5948752691903454,24.047623270947955
5,2015,CO,Colorado,3.92,2.5,3.69,4.0,3.65,3.3,3.49,4.1,3.61,3.9,3.69,3.8,0.04749421742482652,0.06445643793369314,0.07925983037779491,0.09252120277563608,0.02467232074016962,0.38118735543562066,0.21881264456437935,0.12536622976098688,0.31935235158057057,0.2704703161141095,0.027293754818812646,0.0007710100231303007,0.037933693138010795,0.5506553585196607,0.44934464148033926,1170,0.007140012769488486,0.030845878502988817,0.3337730723967707,0.046225993250413225,0.5414530076149754,0.002310298570217726,0.03825173689514559,0.4193160692728257,17.557456505958037
6,2015,CT,Connecticut,3.75,2.3,3.33,3.9,3.25,3.1,3.16,3.9,3.25,3.7,3.35,3.7,0.05852654685141995,0.061160653038825626,0.06785567293181506,0.06607216353409247,0.046069419673480584,0.2598710385512416,0.19091782137467417,0.02859102757579915,0.1292907120318288,0.47482507888599257,0.10102894772945534,0.003210316915900672,0.07213609548634929,0.5183427081904239,0.48165729180957606,1010,0.0027331904141248307,0.04980170424648543,0.2307277537823079,0.12817547454321324,0.5602389589333492,0.0009798580600297862,0.027343060020489633,0.40459149361655283,12.712269825835099
7,2015,DE,Delaware,3.67,1.8,3.34,3.8,3.29,3.0,3.21,3.8,3.28,3.5,3.35,3.6,0.05904509823882724,0.06281176829889036,0.05741626794258373,0.0498829278224575,0.05558383385930978,0.15504428382367913,0.15891275577725747,0.04377481421154433,0.1680749261936272,0.4270589432963453,0.1360073297363331,0.0045810852081848725,0.06159014557670773,0.5190878550341036,0.48091214496589635,924,0.0038419155969860322,0.03704917056318313,0.15868004884295797,0.30692140453286476,0.4608065044524526,0.0011987372308425411,0.031502218780712986,0.37738848611246384,15.076032332402784
8,2015,DC,District Of Columbia,3.69,2.3,3.18,3.7,3.19,3.0,3.05,3.7,3.15,3.4,3.24,3.5,0.05320050869012293,0.04408647732089869,0.02607036880033913,0.018651971174226366,0.09156422212802034,0.1519711742263671,0.12229758372191607,0.03136922424756253,0.1006782534972446,0.39084357778719797,0.19393810936837644,0.011869436201780416,0.149003815175922,0.5061466723187792,0.49385332768122087,881,0.001541964317981954,0.01445591548108082,0.15424461818313234,0.7079784606859332,0.10231174181734949,0.0011082868535495294,0.018359012660972642,0.7491345157430173,12.584457589395159
9,2015,FL,Florida,3.81,2.1,3.45,3.8,3.44,2.5,3.16,3.9,3.32,3.6,3.41,3.5,0.12646922457478912,0.09643807091321713,0.07296301417776295,0.059826417979648445,0.10257119384410154,0.1480327642164,0.1774457251157078,0.05392105027696663,0.17444423657260918,0.4252678157460204,0.09206191688560994,0.0031804390795435135,0.07367881632354258,0.5396172085343137,0.4603827914656862,967,0.0032353312067774655,0.026430409748911646,0.31554205679795716,0.22506670564397102,0.3946473557051597,0.0015214762080814855,0.03355666468914167,0.6418908534680716,15.892129223905398
